#1 Driver,8994436
#1 Flyer,6680415
#1 Helix,7057388
#1 Hookshot,2141916
#1 Hyzer,2215228
#1 Roller,6087036
#1 Slice,7629609
#2 Driver,3973302
#2 Flyer,2412752
#2 Helix,9076168
#2 Hookshot,6631812
#2 Hyzer,7276352
#2 Putter,7650627
#2 Roller,8918322
#2 Slice,7603941
#2 Upshot,5509363
#3 Driver,3085565
#3 Flyer,6481513
#3 Hookshot,7197684
#3 Hyzer,1844594
#3 Slice,2610630
#4 Driver,6498544
10 M Brick,8346541
10 M Crossfire,9499628
100 M Lazer,8869307
50 Cal,6450176
86 Softie,6451076
A1,8081443
A2,8081441
A3,8081442
A4,8080444
Ace,8081444
Aero,2470092
Aftermath,1984394
Aftershock,1994394
Ahti,1205500
Air Strike,0125500
AK-47,0125000
Albatross,0529007
Alias,0125004
All in One,4193230
Alpha,4193239
Amp,4193232
Anchor,4139229
Andro 1,4193229
Andro C,4193233
Andro C (Retooled),4193234
Anode,4193231
Antidote,1312130
Anvil,1312199
Apache,5101462
Ape,0522872
Apex,0577872
APX,8913305
Aquarius,7318361
Arch,7318362
Archangel,2997242
Archer,7381363
Archon,7318363
Arcturus,4010289
Aries,2014205
Arrow,6820268
Ascent,8872948
Assassin,9100613
Astra,7569533
Astra-X,7569534
Atlas,3187912
Atom,3769211
Atomic Raptor X,3769212
Aurora MF,7170629
Aurora MS,7170628
Avenger,0830484
Avenger SS,0901228
Aviar Big Bead Driver,2565503
Aviar Classic,7781597
Aviar P&A,6275754
Aviar3,6725754
AviarX3,6725799
Axe,6383035
Axe Driver,6833035
Axis,6197022
Backbone,6156669
Backdraft,6156670
Ballista,8821038
Ballista Pro,8821099
Ballistic,8821039
Bandit,0310213
Banger-GT,0656924
Banshee,5135032
Banzai,5135999
Bard,9782382
Barracuda,9782383
Beast,5113840
Beast (Original),6110769
Beaver,1561860
Bee Line,1211221
Beetle,1221221
Berg,0125099
Berserker,0152099
BerZerker,0157799
Big Foot,0125001
Bighorn,0120001
Bird-Dog,4512799
Birdie,4512800
Blast DT,8457329
Blaze,2347253
Blitz,5275900
Blowfly,5039654
Blowfly II,9343080
Blunt Driver,8189430
Blunt Gumbputt,9772244
Blurr,3746460
Boa,5677999
Boatman,5677771
Bolt,1244844
Bomb,2247547
Boom,2247546
Boss,6049208
Breaker,1981034
Breakout,7321155
Breeze,7321156
Bryce,0529003
Buffalo,8907140
Bulldog,8907141
Buzzz,2380596
Buzzz OS,8292204
Buzzz SS,8292205
Buzzz-GT,1831526
C4,1549127
Caiman,1991927
Caldera,1451927
Caltrop,1459127
Cannon,1451930
Captain,6929999
Caribou,6926629
Catalyst,6926628
Catapult,6926630
CD Craze,2351310
CD2,2351311
CD3,2531311
Cell,2351312
Chainsaw,9906130
Challenger,9906131
Challenger OS,9906141
Challenger SS,9906151
Charge,9906132
Chariot,9906199
Cheetah,3757296
Chief,3757297
Chief OS,3757295
Chimera,3757298
Chromium,0775298
Cinder,0757298
Clash,0165747
Classic Ace,0165642
Classic Cobra,0165746
Classic Inferno,7615483
Classic Roc,6881008
Claws,0110827
Claymore,0110828
Clozer,6675281
Clutch,0666726
Cobra,6673130
Colossus,9711067
Colt,9711068
Comet,9711069
Commander,9711070
Compass,1687772
Condor,1687773
Convict,1687774
Core,5887721
Cosmos,3639673
Coupe,3693673
Coyote,5369288
Crag,3383102
Crank,3183102
Crank SS,3183101
Crave,3183103
Credo,4761531
Criminal,0529009
Cro,3593265
Croc,0529014
Crossbow,5376611
Crossfire,5376622
Crosshair,3445803
Crown,3454803
Cruise,0002772
Crush,0002762
Culverin,4415040
Cutlass,4415041
Cyborg,4410542
Cyclone,4415042
Cyclone 2,4415043
Cypress,0529011
D1,2613401
D2,4021647
D3,4031647
D4,2613404
D5,2613405
D6,2613406
DaE,1331827
Daedalus,1331828
Dagger,4639881
Dart,4639880
DD Hysteria,9364693
DD2 Frenzy,6795646
DDX,6795647
Death Adder,7525699
Defender,7525647
Defender DT,7525648
Deflector,7595648
Defy,0001001
Delivery,0001000
Demon,1243771
Deputy,0529005
Destiny,2079718
Destroyer,2079719
Devil Hawk,2079720
Diablo,1842938
Diablo DT,1842939
Diamond,7940274
Diesel,7940275
Dimension,7940277
Dolphin,0165745
Dominator,7599234
Double D,7189141
Dragon,6568886
Dragonfly,6568887
Drift,9432299
Drifter,9432206
Driver,9423206
Drone,7429870
Eagle,5949893
Eagle-L (EL),8555685
Eclipse,1290483
EDGE Polecat,4867628
Element,0704282
Element-X,4707159
EMAC Truth,0125008
Enemy,0105000
Energy,0125007
Enforcer,0125006
Envy,0125005
Epic,9743355
Escape,1130002
ESP Driver,2674545
ESP Midrange,2674546
ESP Putter,2674547
Evidence,2674549
Excite,2674911
Exodus,2674999
EXP1,2674548
Explorer,2674599
F1,5011647
F2,5021647
F3,5031647
F5,5051647
F7,5071647
Fairway Driver,8360178
Falchion,8360177
Falk,0529010
FD Jackal,8360179
FD2,8360180
FD3,8360181
Felon,3763431
Fenris,3777431
Fighter,3763477
Fireball,3763400
Firebird,3763432
Firebird-L (FL),5632740
Firestorm,5634740
Flagship,5683510
Flash,4045219
Flashflight LED Driver,2042823
Flashflight LED Midrange,2042824
Flashflight LED Putter,2042825
Flathead Cyclone,0743823
Flatline,5107777
Flick,5107778
Flow,2005314
Flying Squirrel,7580389
Focus,6155774
Force,0207283
Fortress,2012013
Four20,0420420
Foxbat,2210013
Fracture,2210012
Freedom,2210015
Fugitive,1130004
Fuji,5020399
Fury,5020310
Fuse,8822502
Gamma Ray,2241835
Gator,8367344
Gator3,3367344
Gauge,0310313
Gauntlet,0310314
Gavel,0310315
Gazelle,4493143
Genesis,0405738
Getaway,0405799
Ghost,8109139
Giant,8363222
Gila,8343222
Gladiator,6959153
Glide,6995153
GlowFly,2086304
GM Gremlin,6112681
Gobi,0529002
Goblin,8522384
Gopher,0165744
Gou,0165753
Grabboid,0027600
Gray Jay,0027611
Great Horned Owl,3952594
Griffin,3952595
Grizzly,0865915
Groove,9756547
Grym,9756546
Grym X,9756549
Gui,9756548
H1,7797971
H2,7797970
H3,7797973
H4,7797974
H5,7997975
Habit,7797975
Hail Mary,7797972
Halo,0070453
Hammer,4202127
Hammer (Chui),4211127
Harp,1110113
Hatchet,1110114
Havoc,5576048
Hawg,8285048
Hawk,8285049
Hawkeye,8285050
Heat,6451075
Helios,8221370
Hellfire,8221371
Honey,2932833
Hornet,2932834
Hu,0583901
Hunter,0583900
Hurricane,0583902
Hybrid,5867073
Hydra,1501114
Hyperion,1501141
Ibex,5957606
Illusion,1210901
Impact,0470840
Impulse,0470841
Inertia,4227781
Inferno,4227780
Insanity,4227783
Inspire,4227782
Intervention,4227785
Ion,4316873
Iridium,4316874
Jack the Ripper,1102013
Jade,1102014
Jaguar,1083794
Jiao,1083795
JK Pro Aviar-X,5573012
JLS,0663850
JOKERi,3194605
Journey,3394605
Judge,1130003
Juju,4672719
Jun,1111827
Justice,1111828
K-2,1866532
Ka-Kaa,3252026
Kahu,3252025
Karma,3252027
Katana,8338610
Kaxe,8338611
Kaxe Z,8338612
KC Pro Aviar,2634977
Kea,9240899
KGB,9240894
King,9240895
King Cobra,7693412
Kite,8877610
Knife,9881008
Knight,9818008
Krait,9818009
Kraken,3847454
Kui,3647455
Kyng Roller,3847455
L13,0126111
Lace,4217523
LASERi,8502320
Launch,2142826
Legacy,2042826
LEGENDa,2992592
Leopard,6718915
Leopard3,6718917
Lex,6781916
Lex (Original),6718916
Limit,8228811
Lithium,8258811
Lock Jaw,8258812
Longbowman,8258814
Lu,8458813
Lucky,8258813
Lycan,8737740
Lynx,0165743
M1,1928201
M2,1821647
M3,1028291
M4,1841647
M5,1851647
Macana,5628376
Mace,5628377
Machete,0529006
Magic,8656430
Magnet,9389862
Magneton,9398862
Maiden,9398899
Mako,3634535
Mako3,3334535
Mamba,9410395
Mammoth,9410396
Manta,1001109
Mantis,1010109
Marauder,8026098
Marshal,8026096
Matrix,8062097
Maul,8026097
Maverick,8996099
Max,8026099
Maximizer,1658050
Mayhem,1658060
McPro Aviar,2012007
MD,6677127
MD1,6677128
MD2 Fiend,1830181
MD3,0904040
MD4,0904044
Medius,9582538
Medusa,1053814
Merc,1260945
Mercury,4577288
Mercy,4577289
Merlin,0529008
Meteor,4699597
Meteorite,4695997
Mid Range Approach,7114475
MIDARi,9037031
Midgard,7114473
Midknight,7114474
Miracle,0191578
Mirage,1999999
Mirage (Original),1999998
Mirus,8968851
Missilen,8968852
Mjolner,8968853
MOAB,1754992
Monarch,1754993
Money,0370363
Mongoose,0310413
Monster,8885225
Monstrum,8885226
Moose,7768449
Moray,1121201
Morningstar,0130116
Mortar,0131016
Motion,0131017
MRV,6326562
MRX,6326563
Musket,5494999
MX-1,5494901
Mystere,0591805
Mystic,0591806
Myth,9549999
Napalm,9549964
Navigator,9549962
Nebula,9549965
Nemesis,9549966
Ninja,1931996
Ninja (New),1931997
Nitro,1931995
Nordic Warrior,3641119
Northman,3614119
Notch,0943101
Nova,0943102
Nuke,2737082
Nuke OS,2537405
Nuke SS,3138324
O-Lace,9090001
Obex,0666743
Octane,0666744
Odyssey Control Driver,0557204
Odyssey Midrange & Approach,8710077
Odyssey Power Driver,3048912
Odyssey True Line Putter,9645501
Odyssey Ultra Long-Range Driver,1969810
Ogopogo,1969811
Omega AP,6800159
Omega Big Bead,6900159
Omega Super Soft Putter,0659634
Onyx,6800158
Optimizer,6511555
Oracle,6201003
Orbit,2549489
Orbital,2594489
Orc,2594490
Orion LF,4329112
Orion LS,9525844
Osprey,9525843
Outlaw,9525845
P1 Maniac,2227519
P1x,2227520
P2 Psycho,9617056
P3,9617057
PA1,2111647
PA2,2121647
PA3,2131647
PA4,2141647
Pain,4342906
Panic,0778090
Panther,0768090
Panzer Tank,1016013
Particle,9876173
Passport,0700090
Patriot,9876123
PD Freak,0259197
PD2 Chaos,5356887
PDx,5356888
Peace Frog,9341386
Pearl,9341387
Pegasus,9280088
Pelican,9280089
Phantom Deuce,0165740
Pharaoh,9921999
Phase,9921911
Phenix,0165742
Phenom,0615743
Photon,0615744
Pig,5445845
Pilot,5444845
PinDRAGON,0863640
Pine,0091212
Pipeline,9991212
Piranha,0165741
Piwakawaka,0165749
Pluto,7766445
Plutonium,7766447
Polar Bear,7766446
Polaris LF,7747873
Polaris LS,3226668
Polecat,0435624
Powerdrive Gumbputt,8221730
Precision,0459659
Predator,6206017
Primitus,0347224
Procul,0309013
Prometheus,1112828
Proof,1187244
Prophecy,1187299
Protege,1187246
Prowler,1187245
Proxy,1187247
Pteranodon,9166411
Ptero,9166488
Pulse,9166489
Puma,2012211
Punisher,2014211
Pure,1692215
Pure O.G.,1692216
Pursuit,4627750
Putt r,4621350
Putter,4621351
Python,3788383
Quake,0529004
Quarter K,7168665
Quarter K II,8013676
Quasar,0580791
Queen,7166865
Radium,8296673
Radius,8269673
Rage,8269674
Raging Inferno,7024671
Raging Inferno DT,7533504
Raketen,1386805
Ram,1386806
Rampage,5866731
Raptor-X,9056241
Rask,4114035
Rat,3672499
Rattler,3672450
Raven,0148614
RAZERi,0148615
Reaper,0673978
Reef,2857241
Reign,3067918
Reko,3067917
Relativity,3607915
Relay,3067915
Relic,3067919
Renegade,9197603
Resistor,0310113
RESPECTi,9382566
Rhyno,0655349
Ridge,4248334
Rift,1864199
Ringer,1864147
Ringer-GT,1864177
Riot,4381626
Rippa,4827575
Riptide,8365242
Rival,0281200
River,6524752
River Pro,0529013
Roach,9720863
Roadrunner,9720864
Roc,6505160
Roc X3,0529012
Roc3,6305160
Rock-It,7158123
Rocket,7158125
Rogue,9765616
RT Albatross,1837993
RT Nite Owl,1837994
RT Sparrow,1837995
Rubber Putter,1837996
Ruby,6480723
Rune,6487723
Runway,6777799
Ruru,6487799
Sabertooth,1448947
Sabre,1448948
Sail,5165205
Saint,5165206
Saint Pro,5165207
Sampo,8126900
Samurai,8126901
Sarek,0529001
Sasquatch,0125002
Saturn,3133880
Savage,3133881
Savant,3133882
Scale,2195881
Scorcher,2195882
Scorpion,0401208
Scorpius,3328593
Scout,3483764
Scream,2634285
Scream DT,7622555
Scream Max,2220128
Scythe,2220129
Secret Weapon,1283469
Seer,1283468
Sentinel MF,2345890
Serpent,7873139
Servo,7873140
Shadow,3445754
Shadow Extra,3445753
Shaman,3445756
Shark,3445755
Shark3,3345755
Sharpshooter #1,4847575
Sharpshooter #2,9890004
Sharpshooter #3,0557787
Sheriff,4312230
Shield,4321231
Shock,4321230
Shockwave,8083168
Shooting Star,8081368
Shryke,8018368
Sidewinder,8480489
Signal,3635192
Sinus,3365192
Siren,3375192
Skeeter,2157137
Slab,4677571
SLAIDi,4655571
Slammer,9662111
Slayer,9862111
Sleipner,3777719
Sling,3777619
Slipstream-GT,3777620
Sniper,2210003
Solace,2210014
Sole,7247416
Sonic,6960216
Sorcerer,1110112
Spark,1247642
Sparta,1247643
Spectra,1247644
Speed Demon,3967096
Sphinx,3531799
Spider,3531794
Spike,4582615
Spin,1060408
Spirit,1070408
Splinter,1070409
Squall,0011016
Stag,3217900
Stal,3217999
Stalker,8269708
Starfire,9896321
Starfire-L (SL),5841029
STARi,0841029
Steady,0322776
Steady BL,1322776
Stego,0322775
Stiletto,0322777
Sting,4391599
Stinger,4391593
Stingray,3900954
Storm,8088813
Stratus,1111307
Striker,4391592
Stud,4391594
Summit,2353867
Super Puppy,6768004
Super Stingray,5973332
Surge,8842756
Surge SS,9155859
Suspect,3171320
Suture,3034272
Swan 1,3034273
Swan 1 Reborn,3034274
Swan 2,5732093
Swift,8567408
Swift Fox,8567409
Switch,2302014
Sword,6718262
T-Bone,9576027
Tachyon LF,8519771
Tachyon LS,8519772
Taipan,1315677
Talon,1123778
Tangent,0830814
Taniwha,4307844
Tank,4703844
Tank (Original),4703845
Tantrum,4703999
Taurus,4703855
TD Rush,2761877
TD2 Fever,2121476
TDx,2211476
Te Moko,3262414
Teebird,5536882
Teebird-L (TL),5085651
Teebird3,8519770
TeeDevil,2986113
TeeRex,9445760
TeeRex-X,7874862
Teleport,0529015
Tempest,6878711
Tempest (DKG),6878722
Tenacity,5643381
Tensor,5647381
Terminator,4369276
Tern,4127027
Terrapin,4127026
Tesla,4127028
The Bat,4117027
The Mission,8050809
The Owl,8705732
The Wheel,2991766
Theory,2991767
Thief,3107249
Thor,3107245
Thrasher,3007247
Thrill,0007247
Thunder God Thor,3102747
Thunderbird,3107247
Tiger,3107246
Timberwolf,3107248
Titan,3235093
Titanic,3235094
TL3,3335095
Tomb,3235099
Torrent,3235095
Touch,1451929
Touchline Bank,9693087
Touchline Over,9693088
Touchline Putter,9693089
Touchline True,1614398
Touchline Under,3086285
Trace,3045756
Tracer,3054756
Tracker,3054755
Train Wreck,4139018
Trak,4139019
Transcend,0081361
Transition,9921788
Transporter,0247402
Traveler,0247403
Tremor,1130000
Trespass,1130001
Trident,0887728
Truth,1130005
Tsunami,0909327
Tui,9458079
Turbo Putt,8710623
Tursas,4214217
Twin Swords,4214299
Typhoon,4214218
Tyrant,4214219
U-2,8598509
Undertaker,2662446
Undertow,2662447
Underworld,1001002
unLace,9090002
Upshot,9921300
Uranium,9921301
Vaccine,8775592
Valkyrie,8775593
Valley,8775594
Vamp,8775595
Vanish,5112997
VCobra,6833105
Vector,5112998
Vein,5112999
Velociraptor,9056240
Velocity,8620231
Venom,7408747
Verdict,0603000
Vertex,0603099
Veteran,0603001
View,0660827
Viking,5697269
Villain,1957491
Viper,0782502
Virus,4645289
Vision,4645290
Volt,8675309
Voodoo,1224139
Vortex,1224140
Voyage,1324140
Voyager,1234140
VP,5951270
VRoc,6833106
Vulcan,6833107
Vulture,6833199
Wahoo,5402367
Walrus,9019017
War Horse,9019099
War Spear,9019018
Warden,9019019
Warlock,8652258
Warrant,2504592
Warrior,2504593
Warship,3655161
Wasp,3449546
Wave,3449547
Wedge,4077898
Wei,4077899
Whale,0978689
Whippet,0978690
Whippet-X,1060061
White Widow,4507010
Whitler,4507011
Wildcat,9313639
Wildfire,8273685
Wing and a Prayer,8461922
Wings,0330827
Witness,1802014
Wizard,6140857
Wo-Hoo,0520178
Wolf,0520179
Wolverine,9234286
Wombat,2700352
Wombat3,2000352
Woodchuck,2700353
World,1110111
Wraith,8613388
Wrath,8613389
X-2,2121379
X-Clone,3750853
X1,2121378
X2,2121380
X3,2121381
X4,2121382
X5,2121383
Xcaliber,4214852
XD,2075882
XL,0339437
XL-Superdrive,5008945
Xpress,3860633
XS,8893223
Xtra,3763754
Xtreme,2040913
XXX,7570434
Yao,0440827
Yeti,0125003
Yeti Pro Aviar,8109356
Zephyr,5394027
Zeppelin,0201104
Zion,0420121
Zombee,0420120
Zone,4859501
